date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,home_rating,away_rating,long,lat
2015-01-19,Ghana,Senegal,1.0,2.0,African Cup of Nations,Mongomo,Equatorial Guinea,True,1643,1660,1.6280086,11.3119321
2015-01-19,Iran,United Arab Emirates,1.0,0.0,AFC Asian Cup,Brisbane,Australia,True,1738,1665,-27.4689682,153.0234991
2015-01-19,Qatar,Bahrain,1.0,2.0,AFC Asian Cup,Sydney,Australia,True,1546,1484,-33.8698439,151.2082848
2015-01-20,Japan,Jordan,2.0,0.0,AFC Asian Cup,Melbourne,Australia,True,1770,1478,-37.8142176,144.9631608
2015-01-20,Mali,Cameroon,1.0,1.0,African Cup of Nations,Malabo,Equatorial Guinea,True,1546,1614,3.752828,8.780061
2015-01-22,Australia,China,2.0,0.0,AFC Asian Cup,Brisbane,Australia,False,1731,1596,-27.4689682,153.0234991
2015-01-22,South Korea,Uzbekistan,2.0,0.0,AFC Asian Cup,Melbourne,Australia,True,1734,1622,-37.8142176,144.9631608
2015-01-22,Zambia,Tunisia,1.0,2.0,African Cup of Nations,Ebebiyín,Equatorial Guinea,True,1519,1569,1.96027745,11.25247509635614
2015-01-23,Ghana,Algeria,1.0,0.0,African Cup of Nations,Mongomo,Equatorial Guinea,True,1643,1677,1.6280086,11.3119321
2015-01-23,Iran,Iraq,3.0,3.0,AFC Asian Cup,Canberra,Australia,True,1738,1528,-35.2975906,149.1012676
2015-01-23,Japan,United Arab Emirates,1.0,1.0,AFC Asian Cup,Sydney,Australia,True,1770,1665,-33.8698439,151.2082848
2015-01-23,South Africa,Senegal,1.0,1.0,African Cup of Nations,Mongomo,Equatorial Guinea,True,1561,1660,1.6280086,11.3119321
2015-01-24,Cameroon,Guinea,1.0,1.0,African Cup of Nations,Malabo,Equatorial Guinea,True,1614,1557,3.752828,8.780061
2015-01-26,Dem. Rep. of Congo,Tunisia,1.0,1.0,African Cup of Nations,Bata,Equatorial Guinea,True,1490,1569,51.3813864,-2.3596963
2015-01-26,South Korea,Iraq,2.0,0.0,AFC Asian Cup,Sydney,Australia,True,1734,1528,-33.8698439,151.2082848
2015-01-27,Australia,United Arab Emirates,2.0,0.0,AFC Asian Cup,Newcastle,Australia,False,1731,1665,54.9738474,-1.6131572
2015-01-27,Senegal,Algeria,0.0,2.0,African Cup of Nations,Malabo,Equatorial Guinea,True,1660,1677,3.752828,8.780061
2015-01-27,South Africa,Ghana,1.0,2.0,African Cup of Nations,Mongomo,Equatorial Guinea,True,1561,1643,1.6280086,11.3119321
2015-01-28,Cameroon,Ivory Coast,0.0,1.0,African Cup of Nations,Malabo,Equatorial Guinea,True,1614,1739,3.752828,8.780061
2015-01-31,Australia,South Korea,2.0,1.0,AFC Asian Cup,Sydney,Australia,False,1731,1734,-33.8698439,151.2082848
2015-01-31,Equatorial Guinea,Tunisia,2.0,1.0,African Cup of Nations,Bata,Equatorial Guinea,False,1392,1569,51.3813864,-2.3596963
2015-02-01,Ghana,Guinea,3.0,0.0,African Cup of Nations,Malabo,Equatorial Guinea,True,1643,1557,3.752828,8.780061
2015-02-05,Equatorial Guinea,Ghana,0.0,3.0,African Cup of Nations,Malabo,Equatorial Guinea,False,1392,1643,3.752828,8.780061
2015-02-08,Ivory Coast,Ghana,0.0,0.0,African Cup of Nations,Bata,Equatorial Guinea,True,1739,1643,51.3813864,-2.3596963
2015-03-27,England,Lithuania,4.0,0.0,UEFA Euro qualification,London,England,False,1928,1464,51.5073219,-0.1276474
2015-03-27,Japan,Tunisia,2.0,0.0,Kirin Challenge Cup,Ōita,Japan,False,1770,1569,33.1819875,131.4270217
2015-03-27,Spain,Ukraine,1.0,0.0,UEFA Euro qualification,Seville,Spain,False,1953,1808,37.3886303,-5.9953403
2015-03-27,Switzerland,Estonia,3.0,0.0,UEFA Euro qualification,Lucerne,Switzerland,False,1795,1458,47.0505452,8.3054682
2015-03-28,Belgium,Cyprus,5.0,0.0,UEFA Euro qualification,Brussels,Belgium,False,1912,1455,50.8465573,4.351697
2015-03-28,Croatia,Norway,5.0,1.0,UEFA Euro qualification,Zagreb,Croatia,False,1836,1615,45.84264135,15.962231476593626
2015-03-28,Israel,Wales,0.0,3.0,UEFA Euro qualification,Haifa,Israel,False,1623,1671,32.8191218,34.9983856
2015-03-28,Netherlands,Turkey,1.0,1.0,UEFA Euro qualification,Amsterdam,Netherlands,False,2022,1704,52.3727598,4.8936041
2015-03-29,Georgia,Germany,0.0,2.0,UEFA Euro qualification,Tbilisi,Georgia,False,1470,2127,41.6934591,44.8014495
2015-03-29,Ireland,Poland,1.0,1.0,UEFA Euro qualification,Dublin,Republic of Ireland,False,1726,1734,53.3498006,-6.2602964
2015-03-29,Portugal,Serbia,2.0,1.0,UEFA Euro qualification,Lisbon,Portugal,False,1889,1719,38.7077507,-9.1365919
2015-03-31,Israel,Belgium,0.0,1.0,UEFA Euro qualification,Jerusalem,Israel,False,1623,1912,31.79592425,35.21198075969497
2015-05-25,Ghana,Madagascar,1.0,2.0,COSAFA Cup,Phokeng,South Africa,True,1643,1293,-25.575404,27.156484
2015-05-27,Zambia,Ghana,3.0,0.0,COSAFA Cup,Moruleng-Saulspoort,South Africa,True,1519,1643,-25.1652778,27.1713889
2015-06-11,Chile,Ecuador,2.0,0.0,Copa América,Santiago,Chile,False,1936,1833,9.8694792,-83.7980749
2015-06-11,Japan,Iraq,4.0,0.0,Kirin Challenge Cup,Yokohama,Japan,False,1770,1528,35.444991,139.636768
2015-06-11,Maldives,Qatar,0.0,1.0,FIFA World Cup qualification,Malé,Maldives,False,1057,1546,4.1779879,73.5107387
2015-06-11,Saudi Arabia,Palestine,3.0,2.0,FIFA World Cup qualification,Dammam,Saudi Arabia,False,1482,1274,26.4367824,50.1039991
2015-06-12,Croatia,Italy,1.0,1.0,UEFA Euro qualification,Split,Croatia,False,1836,1875,43.5116383,16.4399659
2015-06-12,Latvia,Netherlands,0.0,2.0,UEFA Euro qualification,Riga,Latvia,False,1471,2022,56.9493977,24.1051846
2015-06-12,Mexico,Bolivia,0.0,0.0,Copa América,Viña del Mar,Chile,True,1893,1628,-33.0244535,-71.5517636
2015-06-12,Morocco,Libya,1.0,0.0,African Cup of Nations qualification,Agadir,Morocco,False,1541,1482,30.42203615,-9.55950887633639
2015-06-12,Tunisia,Djibouti,8.0,1.0,African Cup of Nations qualification,Radès,Tunisia,False,1569,789,36.767891,10.2724617
2015-06-12,Wales,Belgium,1.0,0.0,UEFA Euro qualification,Cardiff,Wales,False,1671,1912,51.4816546,-3.1791934
2015-06-13,Argentina,Paraguay,2.0,2.0,Copa América,La Serena,Chile,True,2056,1687,-29.902631,-71.2520253
2015-06-13,Armenia,Portugal,2.0,3.0,UEFA Euro qualification,Yerevan,Armenia,False,1537,1889,40.1776245,44.5126174
2015-06-13,Denmark,Serbia,2.0,0.0,UEFA Euro qualification,Copenhagen,Denmark,False,1759,1719,55.6867243,12.5700724
2015-06-13,Gibraltar,Germany,0.0,7.0,UEFA Euro qualification,Faro,Portugal,True,1131,2127,37.0162727,-7.9351771
2015-06-13,Poland,Georgia,4.0,0.0,UEFA Euro qualification,Warsaw,Poland,False,1734,1470,52.2337172,21.071432235636493
2015-06-13,Senegal,Burundi,3.0,1.0,African Cup of Nations qualification,Dakar,Senegal,False,1660,1317,14.693425,-17.447938
2015-06-13,Uruguay,Jamaica,1.0,0.0,Copa América,Antofagasta,Chile,True,1912,1541,-23.6463741,-70.3980033
2015-06-14,Belarus,Spain,0.0,1.0,UEFA Euro qualification,Barysaw,Belarus,False,1570,1953,54.2240665,28.5117849
2015-06-14,Brazil,Peru,2.0,1.0,Copa América,Temuco,Chile,True,2065,1718,-38.7362611,-72.590546
2015-06-14,Cameroon,Mauritania,1.0,0.0,African Cup of Nations qualification,Yaoundé,Cameroon,False,1614,1210,3.8689867,11.5213344
2015-06-14,Ghana,Mauritius,7.0,1.0,African Cup of Nations qualification,Accra,Ghana,False,1643,1033,5.5571096,-0.2012376
2015-06-14,Lithuania,Switzerland,1.0,2.0,UEFA Euro qualification,Vilnius,Lithuania,False,1464,1795,54.6870458,25.2829111
2015-06-14,Slovenia,England,2.0,3.0,UEFA Euro qualification,Ljubljana,Slovenia,False,1645,1928,46.0500268,14.5069289
